x,y,z,color
0,0,0,1
0.024939,8.93054,-4.49943,1
0.040883,11.57848,-14.1425,1
0.017491,8.141963,-23.5334,1
-0.04992,-1.63545,-25.6304,1
-0.12439,-11.5592,-24.4005,1
-0.22049,-21.4799,-23.1472,1
-0.30876,-29.1421,-29.5724,1
-0.37195,-34.389,-38.0851,1
-0.48142,-43.8914,-41.1985,1
-0.591,-53.7791,-42.6886,1
-0.59819,-54.2876,-52.6757,1
-0.60208,-54.5092,-62.6732,1
-0.61073,-55.0046,-72.661,1
-0.31074,-45.0144,-72.9864,1
-0.00464,-37.7264,-79.8268,1
-0.39371,-47.4985,-81.9136,1
-0.80987,-57.3051,-83.8259,1
-1.21953,-67.0997,-85.8,1
-1.55963,-76.8387,-88.0444,1
-1.81909,-86.521,-90.5313,1
-2.07294,-96.2154,-92.9716,1
-2.30499,-105.99,-95.0721,1
-2.46747,-115.84,-96.7888,1
-2.68302,-125.758,-98.0473,1
-2.91603,-135.719,-98.8937,1
-3.15918,-145.704,-99.39,1
-3.44969,-155.698,-99.5593,1
-3.76029,-165.693,-99.4319,1
-4.04471,-175.688,-99.2888,1
-4.27505,-185.684,-99.4214,1
-4.5079,-195.676,-99.76,1
-4.74397,-205.656,-100.34,1
-4.99521,-215.616,-101.198,1
-5.27784,-225.579,-102.014,1
-5.49132,-235.562,-102.557,1
-5.70763,-245.555,-102.853,1
-6.01212,-255.55,-102.972,1
-6.23197,-265.545,-103.173,1
-6.44463,-275.531,-103.661,1
-6.74198,-285.491,-104.498,1
-6.94677,-295.433,-105.554,1
-7.12494,-305.392,-106.45,1
-7.41234,-315.369,-107.062,1
-7.68273,-325.361,-107.335,1
-7.86858,-335.359,-107.2,1
-8.10229,-345.35,-106.848,1
-8.35698,-355.343,-106.569,1
-8.5349,-365.336,-106.248,1
-8.7587,-375.313,-105.614,1
-9.12754,-385.277,-104.847,1
-9.47382,-395.243,-104.1,1
-9.68049,-405.234,-103.732,1
-9.83352,-415.141,-102.379,1
-9.90868,-421.616,-109.999,1
-9.85087,-418.477,-119.494,1
-9.70543,-415.205,-128.942,1
-9.36391,-410.554,-137.788,1
-8.88027,-405.531,-146.422,1
-8.27593,-400.122,-154.811,1
-7.5043,-394.393,-162.97,1
-6.52338,-388.376,-170.897,1
-5.35792,-382.124,-178.615,1
-4.03295,-375.752,-186.206,1
-2.66907,-369.335,-193.754,1
-1.33634,-362.88,-201.274,1
0.035381,-356.25,-208.634,1
1.494987,-349.336,-215.709,1
3.017111,-342.245,-222.594,1
4.554938,-335.159,-229.481,1
6.16119,-328.237,-236.517,1
7.889508,-321.6,-243.794,1
9.595482,-315.249,-251.328,1
11.29262,-308.98,-258.932,1
13.20047,-302.552,-266.351,1
15.37408,-295.935,-273.527,1
17.67057,-289.318,-280.664,1
19.96252,-282.924,-288.003,1
22.35455,-276.604,-295.374,1
24.92749,-270.072,-302.496,1
