x,y,z,color
873.93,548.82,1488.11,1
883.79,549.98,1489.27,1
893.65,551.14,1490.44,1
903.52,552.29,1491.60,1
913.38,553.45,1492.77,1
923.25,554.61,1493.93,1
933.11,555.76,1495.10,1
942.98,556.92,1496.26,1
952.84,558.08,1497.43,1
962.70,559.23,1498.59,1
972.57,560.39,1499.76,1
982.43,561.55,1500.92,1
992.30,562.71,1502.09,1
1002.16,563.86,1503.25,1
1012.03,565.02,1504.42,1
1021.89,566.18,1505.58,1
1031.75,567.33,1506.75,1
1041.62,568.49,1507.91,1
1051.48,569.65,1509.08,1
1061.35,570.80,1510.24,1
1063.68,571.08,1510.52,1
